SpectraSuite Data File			
++++++++++++++++++++++++++++++++++++			
Date: Wed Mar 11 14:48:38 CET 2026			
User: User			
Dark Spectrum Present: No			
Reference Spectrum Present: No			
Number of Sampled Component Spectra: 1			
Spectrometers: USB2G10323			
Integration Time (usec): 20000 (USB2G10323)			
Spectra Averaged: 1 (USB2G10323)			
Boxcar Smoothing: 0 (USB2G10323)			
Correct for Electrical Dark: No (USB2G10323)			
Strobe/Lamp Enabled: No (USB2G10323)			
Correct for Detector Non-linearity: No (USB2G10323)			
Correct for Stray Light: No (USB2G10323)			
Number of Pixels in Processed Spectrum: 2048			
>>>>>Begin Processed Spectral Data<<<<<			
567,07	2545	2797	1398,5
567,42	2510	2803	1401,5
567,78	2490	2801	1400,5
568,13	2450	2844	1422
568,48	2472	2824	1412
568,84	2478	2831	1415,5
569,19	2446	2849	1424,5
569,55	2433	2838	1419
569,9	2415	2856	1428
570,25	2420	2866	1433
570,61	2383	2871	1435,5
570,96	2405	2862	1431
571,31	2399	2870	1435
571,67	2357	2881	1440,5
572,02	2368	2903	1451,5
572,37	2393	2916	1458
572,73	2410	2936	1468
573,08	2413	2921	1460,5
573,43	2433	2970	1485
573,79	2433	2997	1498,5
574,14	2477	3047	1523,5
574,49	2499	3086	1543
574,85	2509	3107	1553,5
575,2	2534	3082	1541
575,55	2525	3080	1540
575,9	2508	3100	1550
576,26	2500	3133	1566,5
576,61	2521	3175	1587,5
576,96	2533	3175	1587,5
577,31	2490	3156	1578
577,67	2480	3174	1587
578,02	2469	3144	1572
578,37	2441	3172	1586
578,73	2458	3186	1593
579,08	2401	3152	1576
579,43	2393	3111	1555,5
579,78	2383	3103	1551,5
580,13	2369	3093	1546,5
580,49	2356	3102	1551
580,84	2362	3125	1562,5
581,19	2387	3118	1559
581,54	2408	3148	1574
581,9	2420	3172	1586
582,25	2415	3150	1575
582,6	2439	3213	1606,5
582,95	2465	3205	1602,5
583,3	2494	3231	1615,5
583,66	2494	3283	1641,5
584,01	2515	3255	1627,5
584,36	2502	3277	1638,5
584,71	2519	3270	1635
585,06	2539	3286	1643
585,41	2520	3256	1628
585,77	2526	3267	1633,5
586,12	2538	3254	1627
586,47	2468	3229	1614,5
586,82	2468	3214	1607
587,17	2475	3246	1623
587,52	2449	3215	1607,5
587,88	2446	3173	1586,5
588,23	2433	3210	1605
588,58	2413	3173	1586,5
588,93	2409	3160	1580
589,28	2404	3118	1559
589,63	2387	3134	1567
589,98	2439	3130	1565
590,33	2422	3138	1569
590,68	2458	3145	1572,5
591,04	2437	3117	1558,5
591,39	2475	3146	1573
591,74	2439	3111	1555,5
592,09	2443	3084	1542
592,44	2446	3102	1551
